,project,fuzzer,run,edges_found,hour
594,bloaty,AFLPP+CD,004,8713,19
595,bloaty,AFLPP+CD,004,8724,20
596,bloaty,AFLPP+CD,004,8738,21
597,bloaty,AFLPP+CD,004,8752,22
598,bloaty,AFLPP+CD,004,8767,23
599,bloaty,AFLPP+CD,004,8783,24
600,bloaty,AFLPP+CD,005,7312,1
601,bloaty,AFLPP+CD,005,7534,2
602,bloaty,AFLPP+CD,005,7709,3
603,bloaty,AFLPP+CD,005,7786,4
604,bloaty,AFLPP+CD,005,7899,5
605,bloaty,AFLPP+CD,005,8121,6
606,bloaty,AFLPP+CD,005,8158,7
607,bloaty,AFLPP+CD,005,8226,8
608,bloaty,AFLPP+CD,005,8250,9
609,bloaty,AFLPP+CD,005,8262,10
610,bloaty,AFLPP+CD,005,8263,11
611,bloaty,AFLPP+CD,005,8370,12
612,bloaty,AFLPP+CD,005,8380,13
613,bloaty,AFLPP+CD,005,8422,14
614,bloaty,AFLPP+CD,005,8444,15
615,bloaty,AFLPP+CD,005,8494,16
616,bloaty,AFLPP+CD,005,8533,17
617,bloaty,AFLPP+CD,005,8540,18
618,bloaty,AFLPP+CD,005,8661,19
619,bloaty,AFLPP+CD,005,8666,20
620,bloaty,AFLPP+CD,005,8670,21
621,bloaty,AFLPP+CD,005,8800,22
622,bloaty,AFLPP+CD,005,8808,23
623,bloaty,AFLPP+CD,005,8812,24
624,bloaty,AFLPP+CD,006,7307,1
625,bloaty,AFLPP+CD,006,7564,2
626,bloaty,AFLPP+CD,006,7739,3
627,bloaty,AFLPP+CD,006,7829,4
628,bloaty,AFLPP+CD,006,7874,5
629,bloaty,AFLPP+CD,006,7971,6
630,bloaty,AFLPP+CD,006,7978,7
631,bloaty,AFLPP+CD,006,8039,8
632,bloaty,AFLPP+CD,006,8080,9
633,bloaty,AFLPP+CD,006,8261,10
634,bloaty,AFLPP+CD,006,8279,11
635,bloaty,AFLPP+CD,006,8297,12
636,bloaty,AFLPP+CD,006,8317,13
637,bloaty,AFLPP+CD,006,8341,14
638,bloaty,AFLPP+CD,006,8365,15
639,bloaty,AFLPP+CD,006,8384,16
640,bloaty,AFLPP+CD,006,8437,17
641,bloaty,AFLPP+CD,006,8477,18
642,bloaty,AFLPP+CD,006,8547,19
643,bloaty,AFLPP+CD,006,8650,20
