,project,fuzzer,run,nodes_reached,nodes_flipped
563,pdftotext,HasteFuzz+C,002,997,368
564,pdftotext,HasteFuzz+C,008,1318,417
565,pdftotext,HasteFuzz+C,005,1354,442
566,pdftotext,HasteFuzz+C,009,1154,372
567,pdftotext,HasteFuzz+C,007,1486,447
568,pdftotext,HasteFuzz+C,001,1351,434
569,pdftotext,HasteFuzz+C,000,1352,435
570,readelf,AFLPP,004,1413,986
571,readelf,AFLPP,006,1294,875
572,readelf,AFLPP,003,1208,820
573,readelf,AFLPP,002,1277,882
574,readelf,AFLPP,008,1245,836
575,readelf,AFLPP,005,1357,942
576,readelf,AFLPP,009,1153,787
577,readelf,AFLPP,007,1388,972
578,readelf,AFLPP,001,1193,807
579,readelf,AFLPP,000,1211,828
580,readelf,AFLPP+C,004,1048,637
581,readelf,AFLPP+C,006,1265,819
582,readelf,AFLPP+C,003,1157,728
583,readelf,AFLPP+C,002,1246,816
584,readelf,AFLPP+C,008,1185,768
585,readelf,AFLPP+C,005,1157,680
586,readelf,AFLPP+C,009,1241,841
587,readelf,AFLPP+C,007,1417,1006
588,readelf,AFLPP+C,001,1170,761
589,readelf,AFLPP+C,000,1025,647
590,jasper,HasteFuzz+CD,004,1823,712
591,jasper,HasteFuzz+CD,006,1726,633
592,jasper,HasteFuzz+CD,003,1716,614
593,jasper,HasteFuzz+CD,002,1724,627
594,jasper,HasteFuzz+CD,008,1758,644
595,jasper,HasteFuzz+CD,005,1813,697
596,jasper,HasteFuzz+CD,009,1767,651
597,jasper,HasteFuzz+CD,007,1688,636
598,jasper,HasteFuzz+CD,001,1900,739
599,jasper,HasteFuzz+CD,000,1740,647
600,nm-new,FOX,004,2133,1093
601,nm-new,FOX,006,1995,1076
602,nm-new,FOX,003,2221,1239
603,nm-new,FOX,002,2104,1060
604,nm-new,FOX,008,2125,1231
605,nm-new,FOX,005,2299,1286
606,nm-new,FOX,009,1997,1049
607,nm-new,FOX,007,2118,1231
608,nm-new,FOX,001,2216,1235
609,nm-new,FOX,000,2065,1029
610,nm-new,HasteFuzz,004,1545,684
