,hour,project,fuzzer,run,control_size
469,14,libxslt,cmplog_dict,000,14079.0
470,15,libxslt,cmplog_dict,000,14265.0
471,16,libxslt,cmplog_dict,000,14485.0
472,17,libxslt,cmplog_dict,000,14627.0
473,18,libxslt,cmplog_dict,000,14841.0
474,19,libxslt,cmplog_dict,000,14976.0
475,20,libxslt,cmplog_dict,000,15096.0
476,21,libxslt,cmplog_dict,000,15199.0
477,22,libxslt,cmplog_dict,000,15306.0
478,23,libxslt,cmplog_dict,000,15403.0
479,24,libxslt,cmplog_dict,000,15515.0
480,1,openthread,cmplog,004,21.0
481,2,openthread,cmplog,004,21.0
482,3,openthread,cmplog,004,21.0
483,4,openthread,cmplog,004,243.0
484,5,openthread,cmplog,004,484.0
485,6,openthread,cmplog,004,520.0
486,7,openthread,cmplog,004,542.0
487,8,openthread,cmplog,004,549.0
488,9,openthread,cmplog,004,563.0
489,10,openthread,cmplog,004,574.0
490,11,openthread,cmplog,004,581.0
491,12,openthread,cmplog,004,599.0
492,13,openthread,cmplog,004,605.0
493,14,openthread,cmplog,004,636.0
494,15,openthread,cmplog,004,637.0
495,16,openthread,cmplog,004,646.0
496,17,openthread,cmplog,004,653.0
497,18,openthread,cmplog,004,673.0
498,19,openthread,cmplog,004,673.0
499,20,openthread,cmplog,004,676.0
500,21,openthread,cmplog,004,678.0
501,22,openthread,cmplog,004,680.0
502,23,openthread,cmplog,004,681.0
503,24,openthread,cmplog,004,684.0
504,1,openthread,cmplog,006,334.0
505,2,openthread,cmplog,006,440.0
506,3,openthread,cmplog,006,464.0
507,4,openthread,cmplog,006,505.0
508,5,openthread,cmplog,006,539.0
509,6,openthread,cmplog,006,545.0
510,7,openthread,cmplog,006,560.0
511,8,openthread,cmplog,006,583.0
512,9,openthread,cmplog,006,591.0
513,10,openthread,cmplog,006,598.0
514,11,openthread,cmplog,006,607.0
515,12,openthread,cmplog,006,614.0
516,13,openthread,cmplog,006,618.0
517,14,openthread,cmplog,006,618.0
518,15,openthread,cmplog,006,619.0
519,16,openthread,cmplog,006,619.0
520,17,openthread,cmplog,006,631.0
521,18,openthread,cmplog,006,635.0
522,19,openthread,cmplog,006,636.0
523,20,openthread,cmplog,006,641.0
524,21,openthread,cmplog,006,641.0
525,22,openthread,cmplog,006,652.0
526,23,openthread,cmplog,006,659.0
527,24,openthread,cmplog,006,670.0
528,1,openthread,cmplog,003,27.0
529,2,openthread,cmplog,003,289.0
530,3,openthread,cmplog,003,401.0
531,4,openthread,cmplog,003,441.0
532,5,openthread,cmplog,003,515.0
533,6,openthread,cmplog,003,534.0
534,7,openthread,cmplog,003,546.0
535,8,openthread,cmplog,003,572.0
536,9,openthread,cmplog,003,577.0
537,10,openthread,cmplog,003,584.0
538,11,openthread,cmplog,003,586.0
539,12,openthread,cmplog,003,589.0
540,13,openthread,cmplog,003,595.0
541,14,openthread,cmplog,003,595.0
542,15,openthread,cmplog,003,603.0
543,16,openthread,cmplog,003,603.0
544,17,openthread,cmplog,003,603.0
545,18,openthread,cmplog,003,607.0
546,19,openthread,cmplog,003,608.0
547,20,openthread,cmplog,003,609.0
548,21,openthread,cmplog,003,609.0
549,22,openthread,cmplog,003,610.0
550,23,openthread,cmplog,003,614.0
551,24,openthread,cmplog,003,616.0
552,1,openthread,cmplog,002,40.0
553,2,openthread,cmplog,002,339.0
554,3,openthread,cmplog,002,396.0
555,4,openthread,cmplog,002,463.0
556,5,openthread,cmplog,002,482.0
557,6,openthread,cmplog,002,509.0
558,7,openthread,cmplog,002,524.0
559,8,openthread,cmplog,002,530.0
560,9,openthread,cmplog,002,541.0
561,10,openthread,cmplog,002,543.0
562,11,openthread,cmplog,002,544.0
563,12,openthread,cmplog,002,545.0
564,13,openthread,cmplog,002,551.0
565,14,openthread,cmplog,002,554.0
